operacion,num_hilos,tamano_matriz,tiempo,tamano,,,,,,,,,,,,,,,,,,,
inversa_p,3,1000x1000,7.75863,1000,,,,,,,,,,,,,,,,,,,
inversa_p,3,1000x1000,7.74556,1000,,,,,,,,,,,,,,,,,,,
inversa_p,3,1000x1000,7.75858,1000,,,,,,,,,,,,,,,,,,,
inversa_p,3,1000x1000,7.9803,1000,,,,,,,,,,,,,,,,,,,
inversa_p,4,1000x1000,6.70585,1000,,,,,,,,,,,,,,,,,,,
inversa_p,4,1000x1000,6.12419,1000,,,,,,,,,,,,,,,,,,,
inversa_p,4,1000x1000,6.58294,1000,,,,,,,,,,,,,,,,,,,
inversa_p,4,1000x1000,6.79762,1000,,,,,,,,,,,,,,,,,,,
inversa_p,3,100x100,0.02126,100,,,,,,,,,,,,,,,,,,,
inversa_p,3,100x100,0.0249802,100,,,,,,,,,,,,,,,,,,,
inversa_p,3,100x100,0.0207798,100,,,,,,,,,,,,,,,,,,,
inversa_p,3,100x100,0.0190706,100,,,,,,,,,,,,,,,,,,,
inversa_p,4,100x100,0.02341,100,,,,,,,,,,,,,,,,,,,
inversa_p,4,100x100,0.0163013,100,,,,,,,,,,,,,,,,,,,
inversa_p,4,100x100,0.0267769,100,,,,,,,,,,,,,,,,,,,
inversa_p,4,100x100,0.267769,100,,,,,,,,,,,,,,,,,,,
inversa_p,3,2000x2000,65.29240,2000,,,,,,,,,,,,,,,,,,,
inversa_p,3,2000x2000,65.4971,2000,,,,,,,,,,,,,,,,,,,
inversa_p,3,2000x2000,65.2756,2000,,,,,,,,,,,,,,,,,,,
inversa_p,3,2000x2000,66.3953,2000,,,,,,,,,,,,,,,,,,,
inversa_p,4,2000x2000,50.83620,2000,,,,,,,,,,,,,,,,,,,
inversa_p,4,2000x2000,50.42,2000,,,,,,,,,,,,,,,,,,,
inversa_p,4,2000x2000,55.5636,2000,,,,,,,,,,,,,,,,,,,
inversa_p,4,2000x2000,54.282,2000,,,,,,,,,,,,,,,,,,,
inversa_p,3,2500x2500,128.624,2500,,,,,,,,,,,,,,,,,,,
inversa_p,4,2500x2500,99.53970,2500,,,,,,,,,,,,,,,,,,,
inversa,,1000x1000,19.11920,1000,,,,,,,,,,,,,,,,,,,
inversa,,1000x1000,19.0944,1000,,,,,,,,,,,,,,,,,,,
inversa,,1000x1000,19.1225,1000,,,,,,,,,,,,,,,,,,,
inversa,,1000x1000,19.0849,1000,,,,,,,,,,,,,,,,,,,
inversa,,100x100,0.02134,100,,,,,,,,,,,,,,,,,,,
inversa,,100x100,0.0208585,100,,,,,,,,,,,,,,,,,,,
inversa,,100x100,0.021411,100,,,,,,,,,,,,,,,,,,,
inversa,,100x100,0.0209468,100,,,,,,,,,,,,,,,,,,,
inversa,,2000x2000,153.10200,2000,,,,,,,,,,,,,,,,,,,
inversa,,2000x2000,152.852,2000,,,,,,,,,,,,,,,,,,,
inversa,,2000x2000,152.517,2000,,,,,,,,,,,,,,,,,,,
inversa,,2000x2000,152.517,2000,,,,,,,,,,,,,,,,,,,
inversa,,2500x2500,297.51,2500,,,,,,,,,,,,,,,,,,,
suma_p,3,1000x1000,0.00608,1000,,,,,,,,,,,,,,,,,,,
suma_p,3,1000x1000,0.00704464,1000,,,,,,,,,,,,,,,,,,,
suma_p,3,1000x1000,0.00665534,1000,,,,,,,,,,,,,,,,,,,
suma_p,3,1000x1000,0.00661847,1000,,,,,,,,,,,,,,,,,,,
suma_p,4,1000x1000,0.00876,1000,,,,,,,,,,,,,,,,,,,
suma_p,4,1000x1000,0.00729826,1000,,,,,,,,,,,,,,,,,,,
suma_p,4,1000x1000,0.00798923,1000,,,,,,,,,,,,,,,,,,,
suma_p,4,1000x1000,0.00353123,1000,,,,,,,,,,,,,,,,,,,
suma_p,3,100x100,0.00049,100,,,,,,,,,,,,,,,,,,,
suma_p,3,100x100,0,100,,,,,,,,,,,,,,,,,,,
suma_p,3,100x100,0,100,,,,,,,,,,,,,,,,,,,
suma_p,3,100x100,0.000338518,100,,,,,,,,,,,,,,,,,,,
suma_p,4,100x100,0.00043,100,,,,,,,,,,,,,,,,,,,
suma_p,4,100x100,0.000624188,100,,,,,,,,,,,,,,,,,,,
suma_p,4,100x100,0.000477972,100,,,,,,,,,,,,,,,,,,,
suma_p,4,100x100,0,100,,,,,,,,,,,,,,,,,,,
suma_p,3,5000x5000,0.09783,5000,,,,,,,,,,,,,,,,,,,
suma_p,3,5000x5000,0.0976267,5000,,,,,,,,,,,,,,,,,,,
suma_p,3,5000x5000,0.122893,5000,,,,,,,,,,,,,,,,,,,
suma_p,3,5000x5000,0.0972191,5000,,,,,,,,,,,,,,,,,,,
suma_p,4,5000x5000,0.09790,5000,,,,,,,,,,,,,,,,,,,
suma_p,4,5000x5000,0,5000,,,,,,,,,,,,,,,,,,,
suma_p,4,5000x5000,0.0970764,5000,,,,,,,,,,,,,,,,,,,
suma_p,4,5000x5000,0.117184,5000,,,,,,,,,,,,,,,,,,,
suma_p,3,10000x10000,0.394985,10000,,,,,,,,,,,,,,,,,,,
suma_p,4,10000x10000,0.42521,10000,,,,,,,,,,,,,,,,,,,
suma_p,3,15000x15000,0.840663,15000,,,,,,,,,,,,,,,,,,,
suma_p,4,15000x15000,0.79038,15000,,,,,,,,,,,,,,,,,,,
suma_p,3,20000x20000,1.57852,20000,,,,,,,,,,,,,,,,,,,
suma_p,4,20000x20000,1.41359,20000,,,,,,,,,,,,,,,,,,,
suma,,1000x1000,0.01078,1000,,,,,,,,,,,,,,,,,,,
suma,,1000x1000,0.0106414,1000,,,,,,,,,,,,,,,,,,,
suma,,1000x1000,0.0106748,1000,,,,,,,,,,,,,,,,,,,
suma,,1000x1000,0.0107053,1000,,,,,,,,,,,,,,,,,,,
suma,,100x100,0.00012,100,,,,,,,,,,,,,,,,,,,
suma,,100x100,0.000130244,100,,,,,,,,,,,,,,,,,,,
suma,,100x100,0.00011545,100,,,,,,,,,,,,,,,,,,,
suma,,100x100,0.000129929,100,,,,,,,,,,,,,,,,,,,
suma,,5000x5000,0.32257,5000,,,,,,,,,,,,,,,,,,,
suma,,5000x5000,0.321796,5000,,,,,,,,,,,,,,,,,,,
suma,,5000x5000,0.321921,5000,,,,,,,,,,,,,,,,,,,
suma,,5000x5000,0.324307,5000,,,,,,,,,,,,,,,,,,,
suma,,10000x10000,1.30127,10000,,,,,,,,,,2500x2500,297.51,inversa,,2500x2500,297.51,inversa,,2500x2500,297.51
suma,,15000x15000,2.99898,15000,,,,,,,,,,,,,,,,,,,
suma,,20000x20000,5.23824,20000,,,,,,,,,,,,,,,,,,,
multiplicacion_p,3,1000x1000,8.35319,1000,,,,,,,,,,,,,,,,,,,
multiplicacion_p,3,1000x1000,8.72919,1000,,,,,,,,,,,,,,,,,,,
multiplicacion_p,3,1000x1000,8.56904,1000,,,,,,,,,,,,,,,,,,,
multiplicacion_p,3,1000x1000,8.4949,1000,,,,,,,,,,,,,,,,,,,
multiplicacion_p,4,1000x1000,6.57371,1000,,,,,,,,,,,,,,,,,,,
multiplicacion_p,4,1000x1000,6.77107,1000,,,,,,,,,,,,,,,,,,,
multiplicacion_p,4,1000x1000,6.49003,1000,,,,,,,,,,,,,,,,,,,
multiplicacion_p,4,1000x1000,6.5236,1000,,,,,,,,,,,,,,,,,,,
multiplicacion_p,3,100x100,0.00476,100,,,,,,,,,,,,,,,,,,,
multiplicacion_p,3,100x100,0.00436447,100,,,,,,,,,,,,,,,,,,,
multiplicacion_p,3,100x100,0.00467416,100,,,,,,,,,,,,,,,,,,,
multiplicacion_p,3,100x100,0.0050252,100,,,,,,,,,,,,,,,,,,,
multiplicacion_p,4,100x100,0.00371,100,,,,,,,,,,,,,,,,,,,
multiplicacion_p,4,100x100,0.006884,100,,,,,,,,,,,,,,,,,,,
multiplicacion_p,4,100x100,0.00387,100,,,,,,,,,,,,,,,,,,,
multiplicacion_p,4,100x100,0.00676,100,,,,,,,,,,,,,,,,,,,
multiplicacion_p,3,1500x1500,30.53470,1500,,,,,,,,,,,,,,,,,,,
multiplicacion_p,3,1500x1500,29.9633,1500,,,,,,,,,,,,,,,,,,,
multiplicacion_p,3,1500x1500,30.5965,1500,,,,,,,,,,,,,,,,,,,
multiplicacion_p,3,1500x1500,31.7763,1500,,,,,,,,,,,,,,,,,,,
multiplicacion_p,4,1500x1500,24.07380,1500,,,,,,,,,,,,,,,,,,,
multiplicacion_p,4,1500x1500,24.3491,1500,,,,,,,,,,,,,,,,,,,
multiplicacion_p,4,1500x1500,25.3431,1500,,,,,,,,,,,,,,,,,,,
multiplicacion_p,4,1500x1500,24.227,1500,,,,,,,,,,,,,,,,,,,
multiplicacion_p,3,2500x2500,285.659,2500,,,,,,,,,,,,,,,,,,,
multiplicacion_p,4,2500x2500,157.37700,2500,,,,,,,,,,,,,,,,,,,
multiplicacion,,1000x1000,23.33450,1000,,,,,,,,,,,,,,,,,,,
multiplicacion,,1000x1000,26.588,1000,,,,,,,,,,,,,,,,,,,
multiplicacion,,1000x1000,26.5423,1000,,,,,,,,,,,,,,,,,,,
multiplicacion,,1000x1000,26.5521,1000,,,,,,,,,,,,,,,,,,,
multiplicacion,,100x100,0.01270,100,,,,,,,,,,,,,,,,,,,
multiplicacion,,100x100,0.0130883,100,,,,,,,,,,,,,,,,,,,
multiplicacion,,100x100,0.0117588,100,,,,,,,,,,,,,,,,,,,
multiplicacion,,100x100,0.0130403,100,,,,,,,,,,,,,,,,,,,
multiplicacion,,1500x1500,92.47910,1500,,,,,,,,,,,,,,,,,,,
multiplicacion,,2500x2500,457.995,2500,,,,,,,,,,,,,,,,,,,