estado,vuelos,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Matamoros, Tamps.",Total Estado,711.0,661.0,414,366,369,583,40497,472,682,877,780,1083,1058,1064,1401,1045,1020,986,853,636,361,610,688,626,648,926,1236,1216,1045,1068,970,659,427,371
"Matamoros, Tamps.",   Nacionales,,,414,366,368,583,40470,472,682,877,780,1083,1058,1064,1401,1045,1020,986,853,636,361,610,688,626,648,926,1236,1211,1026,1061,970,659,427,371
"Matamoros, Tamps.",   Internacionales,,,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,7,0,0,0,0
"Mazatlán , Sin.",Total Estado,7648.0,7389.0,6898,8070,8392,9217,443556,15890,8839,9498,8643,8585,8652,7754,8131,8147,7631,7434,8038,8640,8024,8925,8423,6258,5475,4886,4263,4379,4598,4644,5982,5129,5550,5921
"Mazatlán , Sin.",   Nacionales,,,4261,4817,5265,6114,298180,12205,6757,7555,6619,6552,6283,6249,6309,6340,6043,5685,5973,6300,5522,6233,6169,4259,3553,2998,2846,3192,3377,3150,4496,3663,4032,4488
"Mazatlán , Sin.",   Internacionales,,,2637,3253,3127,3103,145376,3685,2082,1943,2024,2033,2369,1505,1822,1807,1588,1749,2065,2340,2502,2692,2254,1999,1922,1888,1417,1187,1221,1494,1486,1466,1518,1433
"Mérida, Yuc.",Total Estado,5483.0,5418.0,3575,4318,6629,7797,451904,15121,9606,7907,7579,8124,9627,10141,9285,7598,7219,6908,7594,7037,7491,9944,8805,7489,7320,6307,6984,7214,7939,8723,10172,11475,11239,11476
"Mérida, Yuc.",   Nacionales,,,2861,3502,5591,6146,371790,12965,8308,7051,6755,6639,7473,8522,7402,6795,6664,6441,7007,6405,6721,9316,8265,6960,6786,5834,6541,6697,7287,7995,9159,10378,10230,10626
"Mérida, Yuc.",   Internacionales,,,714,816,1038,1651,80114,2156,1298,856,824,1485,2154,1619,1883,803,555,467,587,632,770,628,540,529,534,473,443,517,652,728,1013,1097,1009,850
"Mexicali, B.C.",Total Estado,814.0,828.0,541,519,783,779,120032,1712,1951,1588,2043,2494,2659,2779,3328,2890,2634,3654,4010,3785,3445,3717,3108,2875,2947,2964,2715,2502,2637,2956,3100,3020,4285,4029
"Mexicali, B.C.",   Nacionales,,,541,518,763,777,119867,1603,1775,1588,2043,2494,2659,2779,3328,2878,2634,3654,4010,3785,3445,3717,3106,2872,2907,2964,2715,2502,2637,2955,3099,3020,4284,4029
"Mexicali, B.C.",   Internacionales,,,0,1,20,2,165,109,176,0,0,0,0,0,0,12,0,0,0,0,0,0,2,3,40,0,0,0,0,1,1,0,1,0
"Minatitlán, Ver.",Total Estado,940.0,751.0,708,918,1933,2322,116666,2995,2880,2135,1299,1078,1059,1418,1276,968,991,1023,1017,1701,1789,2830,2176,1472,1003,1235,1361,1401,1843,1879,1863,1486,1378,1065
"Minatitlán, Ver.",   Nacionales,,,708,918,1925,2316,115061,2995,2880,2135,1299,1078,1059,1418,1276,968,990,1023,1017,1701,1789,2830,2176,1472,1002,1235,1357,1400,1843,1879,1853,1486,1378,1065
"Minatitlán, Ver.",   Internacionales,,,0,0,8,6,1605,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,1,0,0,10,0,0,0
"Monterrey, N.L.",Total Estado,8506.0,8334.0,5882,7608,10220,15394,911657,19845,31977,31767,32334,34235,38294,41694,43051,42187,39528,40418,45444,43688,48323,55287,51634,39063,39788,37340,38919,40290,46660,52662,53190,51423,53021,52153
"Monterrey, N.L.",   Nacionales,,,4153,5087,7072,11773,761618,16002,24037,25723,25319,28203,30245,31495,33695,33595,31219,31095,34739,33746,39467,46699,42747,33099,32528,30127,30943,32069,37866,41334,42363,41349,42886,41890
"Monterrey, N.L.",   Internacionales,,,1729,2521,3148,3621,150039,3843,7940,6044,7015,6032,8049,10199,9356,8592,8309,9323,10705,9942,8856,8588,8887,5964,7260,7213,7976,8221,8794,11328,10827,10074,10135,10263
"Morelia, Mich.",Total Estado,639.0,684.0,535,703,1326,2346,73661,3914,6440,5914,6079,5960,6158,5660,6003,5975,5296,4859,5157,6262,5906,5505,5088,4185,3707,3379,3535,3359,3526,3485,3604,3814,4016,4047
"Morelia, Mich.",   Nacionales,,,535,703,1256,2344,73593,3758,6217,5263,5152,4883,5071,4493,4628,4915,4576,3930,3967,4426,4149,4035,3698,2847,2539,2111,2068,2105,2152,2053,2153,2285,2254,2049
"Morelia, Mich.",   Internacionales,,,0,0,70,2,68,156,223,651,927,1077,1087,1167,1375,1060,720,929,1190,1836,1757,1470,1390,1338,1168,1268,1467,1254,1374,1432,1451,1529,1762,1998
"Nogales, Son.",Total Estado,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,42,153,0,0,0,0,0,0,0,0,0,0,0,0
"Nogales, Son.",   Nacionales,,,0,0,1,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,42,153,0,0,0,0,0,0,0,0,0,0,0,0
"Nogales, Son.",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nuevo Laredo, Tamps.",Total Estado,677.0,566.0,356,463,463,522,40501,382,724,726,738,701,674,670,667,659,641,620,843,698,737,667,668,1059,1032,954,955,732,617,660,690,633,387,396
"Nuevo Laredo, Tamps.",   Nacionales,,,355,463,463,520,40478,382,724,726,738,701,674,670,667,659,641,618,842,698,737,667,668,1059,1032,954,955,732,617,660,660,633,387,396
"Nuevo Laredo, Tamps.",   Internacionales,,,1,0,0,2,23,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
"Oaxaca, Oax.",Total Estado,2908.0,2775.0,2123,2703,2946,4269,267024,4284,4874,4280,4959,4966,4314,5089,4486,4484,4443,3790,4378,4166,4372,3990,4953,4488,3637,3082,3675,3336,3596,4099,5568,6468,6429,8041
"Oaxaca, Oax.",   Nacionales,,,2123,2699,2939,4268,266280,4284,4839,4279,4959,4965,4293,5085,4486,4479,4443,3784,4192,3722,3842,3795,4736,4155,3406,2741,3362,3019,3295,3783,5333,6156,6049,7275
"Oaxaca, Oax.",   Internacionales,,,0,4,7,1,744,0,35,1,0,1,21,4,0,5,0,6,186,444,530,195,217,333,231,341,313,317,301,316,235,312,380,766
"Palenque, Chis.  ",Total Estado,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,718,734,440,1,0,16,0,0,3,0,0,0,0,0,0,84,111,107,105,273,103
"Palenque, Chis.  ",   Nacionales,,,0,0,0,0,0,0,0,0,0,0,0,588,631,395,1,0,16,0,0,3,0,0,0,0,0,0,84,111,107,105,273,103
"Palenque, Chis.  ",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,0,130,103,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poza Rica, Ver.",Total Estado,240.0,204.0,3,0,147,476,21525,957,1298,829,664,784,759,1346,1609,1617,1661,2047,2337,2395,2796,3369,3393,2684,2830,2622,2815,3145,3031,2031,1199,661,338,350
"Poza Rica, Ver.",   Nacionales,,,3,0,147,465,21525,957,1298,829,664,784,759,1346,1609,1617,1661,2047,2337,2395,2796,3369,3393,2684,2830,2622,2815,3145,3031,2031,1199,661,338,350
"Poza Rica, Ver.",   Internacionales,,,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Puebla, Pue.",Total Estado,144.0,142.0,1,48,300,466,37603,1029,1582,1379,928,1226,3011,3155,3137,2475,1996,1029,1259,1502,2561,4874,5154,3517,2903,1151,1503,1894,2036,2569,2845,3118,3577,3509
"Puebla, Pue.",   Nacionales,,,1,48,300,465,36583,1026,1582,1379,928,1197,2429,3151,2793,2078,1987,1028,1016,1133,2155,4321,4761,3141,2533,788,1067,1216,1330,1770,2073,2419,2870,3157
"Puebla, Pue.",   Internacionales,,,0,0,0,1,1020,3,0,0,0,29,582,4,344,397,9,1,243,369,406,553,393,376,370,363,436,678,706,799,772,699,707,352
"Puerto Escondido, Oax.",Total Estado,188.0,258.0,293,265,333,615,17542,799,873,870,967,645,559,1011,834,756,915,289,373,365,376,393,386,390,471,533,729,881,1215,1168,1292,1382,1578,2117
"Puerto Escondido, Oax.",   Nacionales,,,293,265,330,615,16891,799,868,870,967,645,559,1011,834,756,915,289,373,365,374,393,386,390,471,533,729,881,1215,1168,1292,1382,1578,2117
"Puerto Escondido, Oax.",   Internacionales,,,0,0,3,0,651,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Puerto Vallarta, Jal.",Total Estado,7677.0,8620.0,8064,8802,8996,10479,792465,10723,12028,11066,12042,12203,11925,11992,11945,11625,11280,11144,12455,15224,15820,17761,17740,14426,14155,12534,12534,12449,14198,15719,17308,19109,20096,20403
"Puerto Vallarta, Jal.",   Nacionales,,,3858,4414,4599,5724,399962,6077,6545,6044,6086,6313,5950,6203,6303,5775,5364,5211,5539,5730,6330,8294,8440,6473,6107,5374,5516,5629,6248,6702,7214,8021,8668,9276
"Puerto Vallarta, Jal.",   Internacionales,,,4206,4388,4397,4755,392503,4646,5483,5022,5956,5890,5975,5789,5642,5850,5916,5933,6916,9494,9490,9467,9300,7953,8048,7160,7018,6820,7950,9017,10094,11088,11428,11127
"Querétaro, Qro.",Total Estado,0.0,0.0,0,0,0,0,0,0,1509,2067,2341,2029,2425,2400,2540,2449,2149,1952,1783,1836,2028,4273,4001,2048,1280,1758,2785,3089,4535,5098,6176,7506,9636,10638
"Querétaro, Qro.",   Nacionales,,,0,0,0,0,0,0,1509,2067,2341,2029,2424,2400,2540,2449,2149,1952,1783,1424,1654,3910,3550,1649,840,705,1144,1293,2382,3229,4361,5546,7255,7667
"Querétaro, Qro.",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,412,374,363,451,399,440,1053,1641,1796,2153,1869,1815,1960,2381,2971
"Reynosa, Tamps.",Total Estado,841.0,822.0,422,381,395,660,36298,391,747,405,339,710,1056,1096,1727,1858,1083,1013,1035,990,1327,2134,2685,2400,2260,2170,2777,3021,3270,3196,3074,2347,1897,1998
"Reynosa, Tamps.",   Nacionales,,,422,381,395,654,36298,391,747,405,339,710,1056,1096,1727,1858,1083,1013,1035,990,1327,2132,2685,2400,2260,2170,2777,3021,3270,3196,3074,2346,1896,1997
"Reynosa, Tamps.",   Internacionales,,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1
"(1) Saltillo, Coah.",Total Estado,0.0,0.0,0,0,0,0,23805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1) Saltillo, Coah.",   Nacionales,0.0,0.0,0,0,0,0,23692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1) Saltillo, Coah.",   Internacionales,0.0,0.0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Cristobal de las Casas, Chis.",Total Estado,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,195,363,417,638,529,121,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"San Cristobal de las Casas, Chis.",   Nacionales,,,0,0,0,0,0,0,0,0,0,0,0,195,363,417,638,529,121,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"San Cristobal de las Casas, Chis.",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Luis Potosí, S.L.P.",Total Estado,645.0,516.0,378,1064,1561,2670,100213,4836,5704,5294,5600,5682,5517,5163,4882,6263,6108,5791,5867,6209,5945,6164,5916,5371,5852,5322,5625,5032,6405,6046,6437,6328,6826,6389
"San Luis Potosí, S.L.P.",   Nacionales,,,378,1064,1560,2668,100128,4735,5405,5251,5551,5628,5417,5049,4527,5818,5582,5259,5314,5091,4851,5022,4789,4568,4819,4183,4244,3872,4923,4960,5112,4888,5372,4838
"San Luis Potosí, S.L.P.",   Internacionales,,,0,0,1,2,85,101,299,43,49,54,100,114,355,445,526,532,553,1118,1094,1142,1127,803,1033,1139,1381,1160,1482,1086,1325,1440,1454,1551
"Tampico, Tamps.",Total Estado,1717.0,1253.0,914,1515,2010,4018,210196,6256,6883,5495,4320,4573,5116,5811,6498,5937,5108,4924,4810,5165,5394,7144,6083,4506,4165,3987,4520,4419,5406,5274,5050,4822,4836,4666
"Tampico, Tamps.",   Nacionales,,,914,1505,1997,3857,203551,6201,6696,5403,4320,4570,4818,5413,5897,5532,4679,4506,4435,4785,5014,6771,5444,4136,3784,3585,4059,4061,5039,4901,4688,4455,4467,4299
"Tampico, Tamps.",   Internacionales,,,0,10,13,161,6645,55,187,92,0,3,298,398,601,405,429,418,375,380,380,373,639,370,381,402,461,358,367,373,362,367,369,367
"Tamuin, S.L.P.",Total Estado,0.0,0.0,0,0,87,83,203,0,7,0,0,0,0,0,0,0,0,2,0,0,2,0,48,2,0,0,0,0,0,0,0,0,0,40
"Tamuin, S.L.P.",   Nacionales,,,0,0,87,83,203,0,7,0,0,0,0,0,0,0,0,2,0,0,2,0,48,2,0,0,0,0,0,0,0,0,0,40
"Tamuin, S.L.P.",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tapachula, Chis.",Total Estado,717.0,738.0,443,465,572,722,75417,1450,1960,1727,1427,1475,1876,2831,2420,0,1522,1476,1446,1164,1294,1738,2093,1352,1337,1136,1088,1141,1286,1446,1540,1468,1624,1837
"Tapachula, Chis.",   Nacionales,,,443,465,572,721,73441,1450,1960,1727,1427,1475,1875,2831,2343,2093,1522,1476,1446,1164,1294,1737,2093,1352,1337,1136,1088,1116,1157,1446,1540,1468,1623,1837
"Tapachula, Chis.",   Internacionales,,,0,0,0,1,1976,0,0,0,0,0,1,0,77,2,0,0,0,0,0,1,0,0,0,0,0,25,129,0,0,0,1,0
"Tehuacán, Pue.",Total Estado,0.0,0.0,0,0,31,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Tehuacán, Pue.",   Nacionales,,,0,0,31,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Tehuacán, Pue.",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tepic, Nay.",Total Estado,0.0,0.0,0,0,855,695,62456,2495,2518,1968,1831,2360,1796,1454,1355,1102,1477,1341,1363,1295,1602,1986,1440,772,613,628,657,855,1245,1270,1659,1171,1154,1208
"Tepic, Nay.",   Nacionales,,,0,0,855,695,62400,2495,2518,1968,1831,2360,1796,1454,1355,1102,1477,1341,1363,1295,1602,1986,1440,772,613,628,657,855,1245,1270,1659,1171,1154,1208
"Tepic, Nay.",   Internacionales,,,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3) Terán, Chis",Total Estado,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5185,4512,4248,4586,4271,1929,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3) Terán, Chis",   Nacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5185,4512,4248,4586,4271,1929,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3) Terán, Chis",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tijuana, B.C.",Total Estado,7340.0,6883.0,5428,6665,8006,10658,1101318,14703,19634,17151,16983,17095,18150,19965,18669,19140,18971,19460,18318,19194,21014,27613,21655,17748,18036,16060,16564,18930,19036,20633,24999,25803,27115,28839
"Tijuana, B.C.",   Nacionales,,,5326,6654,7996,10316,1092247,14074,17714,16779,16970,17095,17824,19603,18574,19009,18569,19010,18307,19154,20972,27405,21498,17542,17847,15951,16453,18822,18914,20395,24730,25707,26871,28711
"Tijuana, B.C.",   Internacionales,,,102,11,10,342,9071,629,1920,372,13,0,326,362,95,131,402,450,11,40,42,208,157,206,189,109,111,108,122,238,269,96,244,128
"Toluca, Méx.",Total Estado,472.0,384.0,1173,216,90,115,2008,354,1064,126,13,21,21,27,17,602,367,307,266,834,12666,16941,20545,13630,10327,7798,4814,6567,4530,5598,5506,5507,3895,3277
"Toluca, Méx.",   Nacionales,,,1173,216,2,1,872,325,899,70,0,1,0,1,4,588,354,295,68,432,11950,16433,19976,12937,9603,7190,4109,6075,4169,5220,5399,5449,3861,3244
"Toluca, Méx.",   Internacionales,,,0,0,88,114,1136,29,165,56,13,20,21,26,13,14,13,12,198,402,716,508,569,693,724,608,705,492,361,378,107,58,34,33
"Torreón, Coah.",Total Estado,2325.0,2510.0,1254,1513,1774,2713,179195,7972,9381,10639,9752,9829,10300,9460,8813,8549,8156,7240,7497,7106,7208,8933,7671,4475,3627,3284,3539,3738,4169,4314,4852,3903,4486,4649
"Torreón, Coah.",   Nacionales,,,1253,1513,1766,2696,178919,7972,9190,10266,9418,9203,9711,9255,8293,8074,7655,6792,6718,5960,6008,7656,6484,3740,2897,2428,2479,2882,3379,3559,4300,3534,4102,3918
"Torreón, Coah.",   Internacionales,,,1,0,8,17,276,0,191,373,334,626,589,205,520,475,501,448,779,1146,1200,1277,1187,735,730,856,1060,856,790,755,552,369,384,731
"(3) Tuxtla Gutiérrez, Chis.",Total Estado,1606.0,1518.0,601,468,544,1376,64099,1001,816,109,1980,1983,0,0,4791,0,25,345,136,258,2591,5124,5766,4148,3635,3991,4198,4414,4721,5387,6208,6627,5903,5897
"(3) Tuxtla Gutiérrez, Chis.",   Nacionales,,,601,468,541,1359,64081,1001,816,109,1980,1983,0,0,4791,0,25,345,136,258,2591,5124,5765,4148,3575,3887,4090,4231,4716,5386,6207,6627,5902,5896
"(3) Tuxtla Gutiérrez, Chis.",   Internacionales,,,0,0,3,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,104,108,183,5,1,1,0,1,1
"Uruapan, Mich.",Total Estado,181.0,130.0,198,380,421,361,8291,2286,1079,362,351,563,930,1168,365,453,682,682,713,963,1213,886,748,416,412,379,408,452,373,419,484,536,558,558
"Uruapan, Mich.",   Nacionales,,,198,380,421,361,8291,2286,1079,362,351,563,930,1168,365,453,682,682,713,963,1213,886,748,416,412,379,395,385,326,366,429,483,507,506
"Uruapan, Mich.",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,67,47,53,55,53,51,52
"Veracruz, Ver.",Total Estado,1429.0,974.0,946,1437,2625,3583,234642,5489,5999,4649,3795,4112,4707,6123,6295,6142,5936,5655,6413,6213,7800,10910,9794,9259,8994,8076,7937,9434,9447,8913,8717,8391,9325,8702
"Veracruz, Ver.",   Nacionales,,,944,1433,2620,3470,233637,5363,5608,4508,3761,4067,4537,5873,6026,5891,5552,5280,6034,5782,7415,10525,9415,8870,8571,7010,6826,8396,8694,8167,8156,8022,8951,8330
"Veracruz, Ver.",   Internacionales,,,2,4,5,113,1005,126,391,141,34,45,170,250,269,251,384,375,379,431,385,385,379,389,423,1066,1111,1038,753,746,561,369,374,372
"Villahermosa, Tab.",Total Estado,3343.0,3197.0,1837,2093,3684,4910,232354,6575,6059,5310,5535,5861,5338,6573,6687,6447,6161,7039,8089,7531,7379,8828,8488,6736,6234,6134,6921,6999,7972,8377,8069,7613,6074,5326
"Villahermosa, Tab.",   Nacionales,,,1837,2093,3682,4891,231754,6574,6048,5309,5532,5854,5314,6417,6561,6442,6135,6674,7719,7161,7011,8461,8122,6354,5851,5736,6458,6622,7605,7919,7620,7259,5895,5326
"Villahermosa, Tab.",   Internacionales,,,0,0,2,19,600,1,11,1,3,7,24,156,126,5,26,365,370,370,368,367,366,382,383,398,463,377,367,458,449,354,179,0
"Zacatecas, Zac.",Total Estado,754.0,733.0,986,1180,1673,1709,132788,3654,4531,3708,3401,3584,3692,3456,2466,2920,2571,2464,2453,2844,3555,2719,2635,2680,2740,2004,1887,1869,2101,2208,2281,2084,2042,2448
"Zacatecas, Zac.",   Nacionales,,,986,1180,1430,1330,72613,2848,3734,3034,2549,2659,2783,3051,2344,2446,2006,1846,1839,2240,2996,2106,2064,2258,2350,1764,1611,1496,1659,1733,1754,1470,1393,1774
"Zacatecas, Zac.",   Internacionales,,,0,0,243,379,60175,806,797,674,852,925,909,405,122,474,565,618,614,604,559,613,571,422,390,240,276,373,442,475,527,614,649,674
