"aeropuerto",1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"          Internacionales Regulares",5,90,12,0,481,638,14812,857,1477,2846,2265,2216,2037,1625,1451,1642,1344,1105,898,1274,1097,1437,1507,1166,1076,1056,1142,1064,1079,1097,1092,1120,0,0
"   Charters",0,0,256,17,114,4,168,6,121,146,44,38,186,92,357,90,183,93,97,104,320,163,65,226,151,215,4,6,0,0,0,2,5,3
"         Charters Nacionales",0,0,1,1,111,4,162,0,113,17,44,38,86,92,357,90,183,93,96,104,320,163,55,224,140,199,4,6,0,0,0,2,5,3
"         Charters Internacionales",0,0,255,16,3,0,6,6,8,129,0,0,100,0,0,0,0,0,1,0,0,0,10,2,11,16,0,0,0,0,0,0,0,0
"Distrito Federal",55965,54173,47192,54351,61199,68713,7483409,107744,132558,113832,110296,114283,128093,131989,136124,137179,143567,144353,146353,147146,157558,169160,164950,156589,150767,153849,168356,172965,181829,190249,199220,201602,9811,10110
"   Nacionales",,,32254,36503,39478,46862,5596849,77568,98078,84888,80274,82152,91969,96254,99153,103196,108090,108076,109356,109392,117633,126782,123441,119223,113636,115346,125594,127290,133923,137534,142697,138444,8664,8717
"   Internacionales",,,14938,17848,21721,21851,1886560,30176,34480,28944,30022,32131,36124,35735,36971,33983,35477,36277,36997,37754,39925,42378,41509,37366,37131,38503,42762,45675,47906,52715,56523,63158,1147,1393
"   Regulares",55906,54147,47137,54285,61076,68508,7470206,107744,132333,113255,108632,114283,128093,131989,136124,137179,143567,144353,146353,147146,157558,169160,164950,156589,150767,153849,168356,172965,181829,190249,199220,201602,9811,10109
"          Nacionales Regulares",42125,38214,32201,36438,39356,46660,5583700,77568,97861,84313,78610,82152,91969,96254,99153,103196,108090,108076,109356,109392,117633,126782,123441,119223,113636,115346,125594,127290,133923,137534,142697,138444,8664,8717
"          Internacionales Regulares",13781,15933,14936,17847,21720,21848,1886506,30176,34472,28942,30022,32131,36124,35735,36971,33983,35477,36277,36997,37754,39925,42378,41509,37366,37131,38503,42762,45675,47906,52715,56523,63158,1147,1392
"   Charters",59,26,55,66,123,205,13203,0,225,577,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"         Charters Nacionales",0,0,53,65,122,202,13149,0,217,575,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,2,1,1,3,54,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Durango, Dgo.",1613,1594,881,916,1314,1456,91301,4465,4134,3513,3536,3629,4406,4388,4860,4240,3846,3346,3753,3574,3298,3497,2513,1436,1331,1742,1782,2063,2279,2516,2908,2787,2902,3698
"   Nacionales",,,881,916,1314,1455,91127,4401,3902,3396,3332,3440,4207,4174,4613,3991,3638,3124,3354,3121,2889,3226,2345,1301,1181,1580,1564,1847,2048,2367,2750,2606,2747,3193
"   Internacionales",,,0,0,0,1,174,64,232,117,204,189,199,214,247,249,208,222,399,453,409,271,168,135,150,162,218,216,231,149,158,181,155,505
"   Regulares",1613,1594,881,879,1314,1456,91150,4452,4097,3506,3536,3617,4406,4387,4858,4233,3845,3343,3744,3569,3298,3497,2513,1434,1327,1736,1782,2062,2279,2516,2907,2787,2902,3696
"          Nacionales Regulares",1613,1594,881,879,1314,1455,90983,4390,3869,3391,3332,3428,4207,4173,4611,3984,3637,3121,3345,3116,2889,3226,2345,1299,1177,1574,1564,1846,2048,2367,2749,2606,2747,3191
"          Internacionales Regulares",0,0,0,0,0,1,167,62,228,115,204,189,199,214,247,249,208,222,399,453,409,271,168,135,150,162,218,216,231,149,158,181,155,505
"   Charters",0,0,0,37,0,0,151,13,37,7,0,12,0,1,2,7,1,3,9,5,0,0,0,2,4,6,0,1,0,0,1,0,0,2
"         Charters Nacionales",0,0,0,37,0,0,144,11,33,5,0,12,0,1,2,7,1,3,9,5,0,0,0,2,4,6,0,1,0,0,1,0,0,2
"         Charters Internacionales",0,0,0,0,0,0,7,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guadalajara, Jal.",21011,19521,16251,18531,23441,28743,2117416,64631,50208,48158,46256,45665,46488,46615,44912,47205,43280,45441,44501,44799,51167,61667,53858,44038,43357,40336,40329,42750,43889,45350,50615,54091,58750,56987
"   Nacionales",,,11973,12614,16231,21295,1467748,64631,42052,40463,37776,37738,38372,38508,35863,37852,32667,37422,33828,33085,38427,48669,42357,33420,32465,28277,28722,30773,31424,32771,36226,40029,43589,41161
"   Internacionales",,,4278,5917,7210,7448,649668,0,8156,7695,8480,7927,8116,8107,9049,9353,10613,8019,10673,11714,12740,12998,11501,10618,10892,12059,11607,11977,12465,12579,14389,14062,15161,15826
"   Regulares",21009,19516,16249,18022,23099,28739,2108824,64631,50099,47373,45218,45313,46452,46434,44689,47192,43256,45380,44501,44799,51167,61667,53858,44037,43357,40335,40329,42750,43889,45349,50614,54088,58736,56976
"          Nacionales Regulares",16877,15286,11971,12442,15961,21292,1459896,64631,41954,40199,37001,37386,38336,38500,35862,37848,32657,37378,33828,33085,38427,48669,42357,33420,32465,28276,28722,30773,31424,32771,36225,40029,43578,41152
"          Internacionales Regulares",4132,4230,4278,5580,7138,7447,648928,0,8145,7174,8217,7927,8116,7934,8827,9344,10599,8002,10673,11714,12740,12998,11501,10617,10892,12059,11607,11977,12465,12578,14389,14059,15158,15824
"   Charters",2,5,2,509,342,4,8592,0,109,785,1038,352,36,181,223,13,24,61,0,0,0,0,0,1,0,1,0,0,0,1,1,3,14,11
"         Charters Nacionales",0,0,2,172,270,3,7852,0,98,264,775,352,36,8,1,4,10,44,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,9
"         Charters Internacionales",0,0,0,337,72,1,740,0,11,521,263,0,0,173,222,9,14,17,0,0,0,0,0,1,0,0,0,0,0,1,0,3,3,2
"Guaymas, Son.",1150,1046,507,842,827,796,39468,858,1010,1411,1173,1483,1510,1466,1532,1046,696,391,307,336,343,434,786,1376,1419,1434,1363,1076,757,212,0,0,0,0
"   Nacionales",,,199,374,382,368,20374,377,471,911,585,761,827,366,445,544,294,25,0,0,0,121,455,1050,1100,1111,1086,1076,757,212,0,0,0,0
"   Internacionales",,,308,468,445,428,19094,481,539,500,588,722,683,1100,1087,502,402,366,307,336,343,313,331,326,319,323,277,0,0,0,0,0,0,0
"   Regulares",1093,1012,475,781,748,736,31854,728,940,1344,1098,1430,1433,1426,1420,1007,696,379,306,334,343,434,786,1376,1419,1434,1363,1076,757,212,0,0,0,0
"          Nacionales Regulares",722,658,196,366,376,365,20330,370,470,906,582,757,827,366,445,544,294,25,0,0,0,121,455,1050,1100,1111,1086,1076,757,212,0,0,0,0
"          Internacionales Regulares",371,354,279,415,372,371,11524,358,470,438,516,673,606,1060,975,463,402,354,306,334,343,313,331,326,319,323,277,0,0,0,0,0,0,0
"   Charters",57,34,32,61,79,60,7614,130,70,67,75,53,77,40,112,39,0,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,3,8,6,3,44,7,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,29,53,73,57,7570,123,69,62,72,49,77,40,112,39,0,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hermosillo,Son.",3630,3753,2366,3047,3273,4115,259407,6478,10354,12421,13818,13255,13437,13292,15798,16167,15623,14262,14501,13852,14033,14828,12638,10425,9571,9841,9993,10295,10173,8996,9590,8534,8735,8925
"   Nacionales",,,2158,2673,2900,3662,228013,5570,8410,9357,10019,9698,10571,10257,12672,13451,12791,11911,12113,11985,12527,13260,11137,9233,8430,8758,8899,9055,9140,8210,8786,8039,8367,8542
"   Internacionales",,,208,374,373,453,31394,908,1944,3064,3799,3557,2866,3035,3126,2716,2832,2351,2388,1867,1506,1568,1501,1192,1141,1083,1094,1240,1033,786,804,495,368,383
"   Regulares",3629,3752,2364,3047,3272,4115,259133,6470,10235,12420,13813,13253,13437,13284,15725,16167,15623,14257,14487,13840,14027,14827,12631,10423,9564,9838,9970,10289,10171,8993,9586,8521,8731,8925
"          Nacionales Regulares",3254,3368,2156,2673,2899,3662,227773,5562,8346,9356,10016,9696,10571,10249,12599,13451,12791,11909,12099,11974,12521,13259,11132,9232,8425,8756,8879,9051,9139,8209,8782,8026,8363,8542
"          Internacionales Regulares",375,384,208,374,373,453,31360,908,1889,3064,3797,3557,2866,3035,3126,2716,2832,2348,2388,1866,1506,1568,1499,1191,1139,1082,1091,1238,1032,784,804,495,368,383
"   Charters",1,1,2,0,1,0,274,8,119,1,5,2,0,8,73,0,0,5,14,12,6,1,7,2,7,3,23,6,2,3,4,13,4,0
"         Charters Nacionales",0,0,2,0,1,0,240,8,64,1,3,2,0,8,73,0,0,2,14,11,6,1,5,1,5,2,20,4,1,1,4,13,4,0
"         Charters Internacionales",0,0,0,0,0,0,34,0,55,0,2,0,0,0,0,0,0,3,0,1,0,0,2,1,2,1,3,2,1,2,0,0,0,0
"Ixtapa Zihuatanejo, Gro.",3043,3524,3619,3644,3191,3328,309319,3810,5089,4081,4149,4149,4198,4167,4192,4229,4210,3822,3762,3956,4673,4844,4312,4064,3525,3432,3147,2788,3267,3528,3443,3614,3343,3639
"   Nacionales",,,3051,3017,2734,3013,276342,3321,4559,3601,3503,3251,3058,2975,3041,3066,3170,2752,2458,2563,2946,3164,3035,2888,2471,2586,2343,2019,2355,2537,2500,2704,2461,2822
"   Internacionales",,,568,627,457,315,32977,489,530,480,646,941,1140,1192,1151,1163,1040,1070,1304,1393,1727,1680,1277,1176,1054,846,804,769,912,991,943,910,882,817
"   Regulares",2902,3306,3344,3416,3048,3223,290954,3153,4121,3193,3026,3056,3117,2844,3003,3656,3866,3513,3362,3514,4171,4423,4008,3916,3449,3321,3001,2651,3067,3298,3180,3366,3093,3437
"          Nacionales Regulares",2780,3047,2945,2946,2695,2981,273292,2958,3982,3145,2866,2730,2547,2340,2415,2955,3155,2752,2408,2433,2749,2937,2838,2819,2458,2561,2343,2014,2351,2535,2500,2704,2461,2822
"          Internacionales Regulares",122,259,399,470,353,242,17662,195,139,48,160,326,570,504,588,701,711,761,954,1081,1422,1486,1170,1097,991,760,658,637,716,763,680,662,632,615
"   Charters",141,218,275,228,143,105,18365,657,968,888,1123,1136,1081,1323,1189,573,344,309,400,442,502,421,304,148,76,111,146,137,200,230,263,248,250,202
"         Charters Nacionales",0,0,106,71,39,32,3050,363,577,456,637,521,511,635,626,111,15,0,50,130,197,227,197,69,13,25,0,5,4,2,0,0,0,0
"         Charters Internacionales",0,0,169,157,104,73,15315,294,391,432,486,615,570,688,563,462,329,309,350,312,305,194,107,79,63,86,146,132,196,228,263,248,250,202
"(4) Ixtepec, Oax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,692,646
"   Nacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,613,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,692,646
"   Internacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,689,644
"          Nacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,689,644
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"         Charters Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Paz, B.C.S.",4513,4490,3844,4799,4811,4433,186297,5394,5401,6196,6493,6920,6744,6665,6736,6566,6507,5446,6073,5956,5944,8408,6631,4031,4315,3409,3248,3415,3364,4325,6724,6010,5988,5441
"   Nacionales",,,3614,4406,4426,4025,175752,5061,5383,5855,6183,6646,6450,6278,6385,6307,6304,5275,5837,5721,5784,7962,6301,3772,4143,3223,3089,3328,3336,4310,6709,5996,5980,5420
"   Internacionales",,,230,393,385,408,10545,333,18,341,310,274,294,387,351,259,203,171,236,235,160,446,330,259,172,186,159,87,28,15,15,14,8,21
"   Regulares",4506,4471,3832,4788,4811,4389,185323,5381,5387,6194,6492,6919,6742,6665,6717,6566,6505,5444,6060,5956,5944,8408,6631,4031,4315,3409,3242,3415,3364,4325,6724,6002,5978,5425
"          Nacionales Regulares",4240,4103,3611,4406,4426,3981,174843,5059,5371,5853,6182,6646,6448,6278,6366,6307,6302,5273,5824,5721,5784,7962,6301,3772,4143,3223,3083,3328,3336,4310,6709,5988,5977,5418
"          Internacionales Regulares",266,368,221,382,385,408,10480,322,16,341,310,273,294,387,351,259,203,171,236,235,160,446,330,259,172,186,159,87,28,15,15,14,1,7
"   Charters",7,19,12,11,0,44,974,13,14,2,1,1,2,0,19,0,2,2,13,0,0,0,0,0,0,0,6,0,0,0,0,8,10,16
"         Charters Nacionales",0,0,3,0,0,44,909,2,12,2,1,0,2,0,19,0,2,2,13,0,0,0,0,0,0,0,6,0,0,0,0,8,3,2
"         Charters Internacionales",0,0,9,11,0,0,65,11,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14
"(1) Lázaro Cárdenas, Mich.",0,0,0,0,0,0,26907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Nacionales",0,0,0,0,0,0,26907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",0,0,0,0,0,0,26907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Nacionales Regulares",0,0,0,0,0,0,26907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"León, Gto. (Bajío)",1592,1675,1284,1206,1831,3019,271749,8362,10446,7268,6754,7016,7938,9052,9261,8849,8263,8662,8387,9468,9991,11308,9439,8537,8308,7478,7603,7636,9184,11061,11729,11966,12893,13800
"   Nacionales",,,1284,1206,1614,2697,222953,7543,9380,6127,5565,5578,6231,7210,7120,6647,6551,6726,6216,6364,6420,7246,5777,5292,5131,3847,4292,4365,5485,6876,7458,7862,8471,9349
"   Internacionales",,,0,0,217,322,48796,819,1066,1141,1189,1438,1707,1842,2141,2202,1712,1936,2171,3104,3571,4062,3662,3245,3177,3631,3311,3271,3699,4185,4271,4104,4422,4451
"   Regulares",1592,1675,1284,1206,1827,2780,269502,8225,10232,7186,6616,6817,7759,8804,9246,8849,8257,8662,8381,9468,9991,11308,9425,8536,8306,7478,7593,7634,9174,11057,11729,11966,12893,13800
"          Nacionales Regulares",1592,1675,1284,1206,1610,2458,220706,7408,9184,6046,5427,5379,6052,6972,7118,6647,6551,6726,6210,6364,6420,7246,5763,5292,5129,3847,4283,4364,5475,6872,7458,7862,8471,9349
"          Internacionales Regulares",0,0,0,0,217,322,48796,817,1048,1140,1189,1438,1707,1832,2128,2202,1706,1936,2171,3104,3571,4062,3662,3244,3177,3631,3310,3270,3699,4185,4271,4104,4422,4451
"   Charters",0,0,0,0,4,239,2247,137,214,82,138,199,179,248,15,0,6,0,6,0,0,0,14,1,2,0,10,2,10,4,0,0,0,0
"         Charters Nacionales",0,0,0,0,4,239,2247,135,196,81,138,199,179,238,2,0,0,0,6,0,0,0,14,0,2,0,9,1,10,4,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,2,18,1,0,0,0,10,13,0,6,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"(2) Loma Bonita, Oax.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Nacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Internacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Nacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loreto, B.C.S.",766,674,202,410,620,803,22478,740,734,666,1293,1253,1280,1175,1130,1123,1433,1170,1083,1245,1028,1260,955,261,350,454,346,571,523,574,568,572,625,747
"   Nacionales",,,111,210,258,438,5945,372,365,493,723,752,741,770,721,762,1235,896,764,883,753,717,570,52,122,198,120,206,196,233,334,333,388,480
"   Internacionales",,,91,200,362,365,16533,368,369,173,570,501,539,405,409,361,198,274,319,362,275,543,385,209,228,256,226,365,327,341,234,239,237,267
"   Regulares",764,672,202,410,616,785,22456,731,727,666,1269,1140,1122,1081,1083,1064,1432,1164,1048,1243,1028,1257,955,209,227,252,220,433,343,458,568,572,625,747
"          Nacionales Regulares",585,506,111,210,256,420,5923,370,364,493,714,735,733,720,721,762,1234,896,764,881,753,714,570,0,0,0,0,80,38,144,334,333,388,480
"          Internacionales Regulares",179,166,91,200,360,365,16533,361,363,173,555,405,389,361,362,302,198,268,284,362,275,543,385,209,227,252,220,353,305,314,234,239,237,267
"   Charters",2,2,0,0,4,18,22,9,7,0,24,113,158,94,47,59,1,6,35,2,0,3,0,52,123,202,126,138,180,116,0,0,0,0
"         Charters Nacionales",0,0,0,0,2,18,22,2,1,0,9,17,8,50,0,0,1,0,0,2,0,3,0,52,122,198,120,126,158,89,0,0,0,0
"         Charters Internacionales",0,0,0,0,2,0,0,7,6,0,15,96,150,44,47,59,0,6,35,0,0,0,0,0,1,4,6,12,22,27,0,0,0,0
"Los Cabos, B.C.S.",3137,3042,2468,3523,4719,4801,296137,4541,4816,5478,7113,7494,7629,7313,7675,7928,8622,9122,10421,13503,14380,15454,14722,13894,13392,12650,13725,14688,14036,15594,17022,20111,20426,20107
"   Nacionales",,,1472,1929,1762,1394,79279,1461,940,998,1685,1850,2075,1943,1714,1770,2227,2845,3086,3548,4091,5207,5458,5322,4793,4185,4779,4567,4528,4648,5919,6705,6938,7135
"   Internacionales",,,996,1594,2957,3407,216858,3080,3876,4480,5428,5644,5554,5370,5961,6158,6395,6277,7335,9955,10289,10247,9264,8572,8599,8465,8946,10121,9508,10946,11103,13406,13488,12972
"   Regulares",3128,3018,2425,3333,4500,4720,281047,3827,3947,4247,6241,6743,6938,6840,7127,7547,8077,8446,10044,12698,13417,14781,14034,13444,12974,12121,13240,14243,13662,15185,16552,19472,19887,19319
"          Nacionales Regulares",2075,2013,1466,1911,1734,1381,78073,1395,843,911,1546,1694,1913,1892,1646,1676,1946,2430,2863,3108,3550,4904,5122,5093,4597,3983,4690,4509,4511,4629,5897,6690,6933,7111
"          Internacionales Regulares",1053,1005,959,1422,2766,3339,202974,2432,3104,3336,4695,5049,5025,4948,5481,5871,6131,6016,7181,9590,9867,9877,8912,8351,8377,8138,8550,9734,9151,10556,10655,12782,12954,12208
"   Charters",9,24,43,190,219,81,15090,714,869,1231,872,751,691,473,548,381,545,676,377,805,963,673,688,450,418,529,485,445,374,409,470,639,539,788
"         Charters Nacionales",0,0,6,18,28,13,1206,66,97,87,139,156,162,51,68,94,281,415,223,440,541,303,336,229,196,202,89,58,17,19,22,15,5,24
"         Charters Internacionales",0,0,37,172,191,68,13884,648,772,1144,733,595,529,422,480,287,264,261,154,365,422,370,352,221,222,327,396,387,357,390,448,624,534,764
"Los Mochis, Sin.",2031,2055,2155,2246,2228,2703,109458,4125,4282,4408,5223,5145,4894,4790,5096,4794,4720,4809,4718,4279,4193,5799,3742,3007,3029,2234,2033,2050,1780,1663,3294,2850,2665,2900
"   Nacionales",,,2155,2246,2219,2700,108345,4125,4275,4408,5223,5145,4894,4790,5096,4794,4720,4809,4718,4279,4193,5703,3693,3007,3029,2234,2033,2050,1780,1663,3294,2850,2665,2900
"   Internacionales",,,0,0,9,3,1113,0,7,0,0,0,0,0,0,0,0,0,0,0,0,96,49,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",2031,2054,2155,2246,2228,2680,109426,4125,4272,4408,5222,5143,4894,4790,5091,4792,4720,4809,4712,4262,4191,5799,3742,3007,3029,2234,2033,2050,1780,1511,2135,1607,1327,1597
"          Nacionales Regulares",2031,2053,2155,2246,2219,2677,108313,4125,4265,4408,5222,5143,4894,4790,5091,4792,4720,4809,4712,4262,4191,5703,3693,3007,3029,2234,2033,2050,1780,1511,2135,1607,1327,1597
"          Internacionales Regulares",0,1,0,0,9,3,1113,0,7,0,0,0,0,0,0,0,0,0,0,0,0,96,49,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,1,0,0,0,23,32,0,10,0,1,2,0,0,5,2,0,0,6,17,2,0,0,0,0,0,0,0,0,152,1159,1243,1338,1303
"         Charters Nacionales",0,0,0,0,0,23,32,0,10,0,1,2,0,0,5,2,0,0,6,17,2,0,0,0,0,0,0,0,0,152,1159,1243,1338,1303
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manzanillo, Col.",2249,2306,1867,1945,1917,1543,119591,2329,2020,2942,3186,2764,2571,2110,2680,2460,1930,2134,2179,2368,2252,2454,2069,1659,1704,1876,2132,2150,2132,1943,1795,1400,1046,1078
"   Nacionales",,,1427,1520,1643,1357,94390,1847,1751,2532,2581,2132,1915,1493,1940,1702,1483,1545,1454,1670,1621,1670,1472,1199,1265,1479,1740,1772,1733,1474,1464,1090,777,780
"   Internacionales",,,440,425,274,186,25201,482,269,410,605,632,656,617,740,758,447,589,725,698,631,784,597,460,439,397,392,378,399,469,331,310,269,298
"   Regulares",2174,2088,1674,1759,1718,1427,101645,2126,1721,2653,2913,2507,2319,1925,2405,2175,1785,1966,2011,2103,2029,2254,1867,1556,1601,1749,2026,2061,2104,1871,1731,1398,1038,1078
"          Nacionales Regulares",2164,2030,1410,1500,1623,1352,92775,1826,1721,2501,2571,2130,1915,1493,1911,1665,1465,1486,1408,1587,1529,1625,1410,1188,1212,1406,1719,1727,1731,1456,1437,1088,769,780
"          Internacionales Regulares",10,58,264,259,95,75,8870,300,0,152,342,377,404,432,494,510,320,480,603,516,500,629,457,368,389,343,307,334,373,415,294,310,269,298
"   Charters",75,218,193,186,199,116,17946,203,299,289,273,257,252,185,275,285,145,168,168,265,223,200,202,103,103,127,106,89,28,72,64,2,8,0
"         Charters Nacionales",0,0,17,20,20,5,1615,21,30,31,10,2,0,0,29,37,18,59,46,83,92,45,62,11,53,73,21,45,2,18,27,2,8,0
"         Charters Internacionales",0,0,176,166,179,111,16331,182,269,258,263,255,252,185,246,248,127,109,122,182,131,155,140,92,50,54,85,44,26,54,37,0,0,0
"Matamoros, Tamps.",711,661,414,366,369,583,40497,472,682,877,780,1083,1058,1064,1401,1045,1020,986,853,636,361,610,688,626,648,926,1236,1216,1045,1068,970,659,427,371
